Second,HeartRate,Level,LapDistance,Age,Duration(seconds),Laps
1,92,6,10.0,34,19,2
2,108,6,10.0,34,19,2
3,91,6,10.0,34,19,2
4,99,6,10.0,34,19,2
5,99,6,10.0,34,19,2
6,100,6,10.0,34,19,2
7,97,6,10.0,34,19,2
8,92,6,10.0,34,19,2
9,99,6,10.0,34,19,2
10,95,6,10.0,34,19,2
11,97,6,10.0,34,19,2
12,244,6,10.0,34,19,2
13,219,6,10.0,34,19,2
14,194,6,10.0,34,19,2
15,179,6,10.0,34,19,2
16,180,6,10.0,34,19,2
17,181,6,10.0,34,19,2
18,180,6,10.0,34,19,2
19,195,6,10.0,34,19,2
20,177,6,10.0,34,19,2
21,182,6,10.0,34,19,2
22,173,6,10.0,34,19,2
23,183,6,10.0,34,19,2
24,181,6,10.0,34,19,2
25,195,6,10.0,34,19,2
26,195,6,10.0,34,19,2
