Second,HeartRate,Level,LapDistance,Age,Duration(seconds),Laps
1,146,4,10.0,30,32,2
2,146,4,10.0,30,32,2
3,0,4,10.0,30,32,2
4,95,4,10.0,30,32,2
5,93,4,10.0,30,32,2
6,186,4,10.0,30,32,2
7,181,4,10.0,30,32,2
8,194,4,10.0,30,32,2
9,193,4,10.0,30,32,2
10,173,4,10.0,30,32,2
11,171,4,10.0,30,32,2
12,177,4,10.0,30,32,2
13,186,4,10.0,30,32,2
14,193,4,10.0,30,32,2
15,176,4,10.0,30,32,2
16,193,4,10.0,30,32,2
17,174,4,10.0,30,32,2
18,175,4,10.0,30,32,2
19,195,4,10.0,30,32,2
20,192,4,10.0,30,32,2
21,190,4,10.0,30,32,2
22,193,4,10.0,30,32,2
23,185,4,10.0,30,32,2
24,194,4,10.0,30,32,2
25,186,4,10.0,30,32,2
26,183,4,10.0,30,32,2
27,171,4,10.0,30,32,2
28,172,4,10.0,30,32,2
29,181,4,10.0,30,32,2
30,190,4,10.0,30,32,2
31,187,4,10.0,30,32,2
32,187,4,10.0,30,32,2
33,181,4,10.0,30,32,2
34,176,4,10.0,30,32,2
35,170,4,10.0,30,32,2
36,195,4,10.0,30,32,2
37,188,4,10.0,30,32,2
38,180,4,10.0,30,32,2
39,79,4,10.0,30,32,2
40,87,4,10.0,30,32,2
41,82,4,10.0,30,32,2
42,72,4,10.0,30,32,2
43,71,4,10.0,30,32,2
44,80,4,10.0,30,32,2
45,78,4,10.0,30,32,2
46,82,4,10.0,30,32,2
47,72,4,10.0,30,32,2
48,85,4,10.0,30,32,2
49,84,4,10.0,30,32,2
50,72,4,10.0,30,32,2
51,89,4,10.0,30,32,2
52,75,4,10.0,30,32,2
53,72,4,10.0,30,32,2
54,80,4,10.0,30,32,2
55,90,4,10.0,30,32,2
56,87,4,10.0,30,32,2
57,71,4,10.0,30,32,2
58,73,4,10.0,30,32,2
59,87,4,10.0,30,32,2
60,85,4,10.0,30,32,2
61,79,4,10.0,30,32,2
62,74,4,10.0,30,32,2
63,75,4,10.0,30,32,2
64,78,4,10.0,30,32,2
65,78,4,10.0,30,32,2
66,80,4,10.0,30,32,2
67,76,4,10.0,30,32,2
