Second,HeartRate,Level,LapDistance,Age,Duration(seconds),Laps,Distance(meters),Feedback
1,161,3,40.0,20,53,1,39.593823552131646,
2,162,3,40.0,20,53,1,39.593823552131646,
3,157,3,40.0,20,53,1,39.593823552131646,
4,155,3,40.0,20,53,1,39.593823552131646,
5,164,3,40.0,20,53,1,39.593823552131646,
6,153,3,40.0,20,53,1,39.593823552131646,
7,154,3,40.0,20,53,1,39.593823552131646,
8,153,3,40.0,20,53,1,39.593823552131646,
9,160,3,40.0,20,53,1,39.593823552131646,
10,154,3,40.0,20,53,1,39.593823552131646,
11,166,3,40.0,20,53,1,39.593823552131646,
12,169,3,40.0,20,53,1,39.593823552131646,
13,154,3,40.0,20,53,1,39.593823552131646,
14,162,3,40.0,20,53,1,39.593823552131646,
15,150,3,40.0,20,53,1,39.593823552131646,
16,156,3,40.0,20,53,1,39.593823552131646,
17,153,3,40.0,20,53,1,39.593823552131646,
18,164,3,40.0,20,53,1,39.593823552131646,
19,155,3,40.0,20,53,1,39.593823552131646,
20,167,3,40.0,20,53,1,39.593823552131646,
21,170,3,40.0,20,53,1,39.593823552131646,
22,165,3,40.0,20,53,1,39.593823552131646,
23,169,3,40.0,20,53,1,39.593823552131646,
24,167,3,40.0,20,53,1,39.593823552131646,
25,152,3,40.0,20,53,1,39.593823552131646,
26,169,3,40.0,20,53,1,39.593823552131646,
27,155,3,40.0,20,53,1,39.593823552131646,
28,164,3,40.0,20,53,1,39.593823552131646,
29,154,3,40.0,20,53,1,39.593823552131646,
30,151,3,40.0,20,53,1,39.593823552131646,
31,166,3,40.0,20,53,1,39.593823552131646,
32,159,3,40.0,20,53,1,39.593823552131646,
33,154,3,40.0,20,53,1,39.593823552131646,
34,165,3,40.0,20,53,1,39.593823552131646,
35,160,3,40.0,20,53,1,39.593823552131646,
36,161,3,40.0,20,53,1,39.593823552131646,
37,155,3,40.0,20,53,1,39.593823552131646,
38,163,3,40.0,20,53,1,39.593823552131646,
39,151,3,40.0,20,53,1,39.593823552131646,
40,163,3,40.0,20,53,1,39.593823552131646,
41,163,3,40.0,20,53,1,39.593823552131646,
42,164,3,40.0,20,53,1,39.593823552131646,
43,170,3,40.0,20,53,1,39.593823552131646,
44,162,3,40.0,20,53,1,39.593823552131646,
45,167,3,40.0,20,53,1,39.593823552131646,
46,160,3,40.0,20,53,1,39.593823552131646,
47,163,3,40.0,20,53,1,39.593823552131646,
48,160,3,40.0,20,53,1,39.593823552131646,
49,155,3,40.0,20,53,1,39.593823552131646,
50,163,3,40.0,20,53,1,39.593823552131646,
51,158,3,40.0,20,53,1,39.593823552131646,
