Second,HeartRate,Level,LapDistance,Age,Duration(seconds),Laps,Distance(meters),Feedback
1,157,3,50.0,50,1,0,0.8428905407587688,
2,152,3,50.0,50,1,0,0.8428905407587688,
3,158,3,50.0,50,1,0,0.8428905407587688,
4,153,3,50.0,50,1,0,0.8428905407587688,
5,162,3,50.0,50,1,0,0.8428905407587688,
6,154,3,50.0,50,1,0,0.8428905407587688,
7,151,3,50.0,50,1,0,0.8428905407587688,
8,157,3,50.0,50,1,0,0.8428905407587688,
9,166,3,50.0,50,1,0,0.8428905407587688,
10,160,3,50.0,50,1,0,0.8428905407587688,
11,151,3,50.0,50,1,0,0.8428905407587688,
12,150,3,50.0,50,1,0,0.8428905407587688,
13,151,3,50.0,50,1,0,0.8428905407587688,
14,159,3,50.0,50,1,0,0.8428905407587688,
15,169,3,50.0,50,1,0,0.8428905407587688,
16,167,3,50.0,50,1,0,0.8428905407587688,
17,162,3,50.0,50,1,0,0.8428905407587688,
18,155,3,50.0,50,1,0,0.8428905407587688,
19,157,3,50.0,50,1,0,0.8428905407587688,
20,160,3,50.0,50,1,0,0.8428905407587688,
21,161,3,50.0,50,1,0,0.8428905407587688,
22,161,3,50.0,50,1,0,0.8428905407587688,
23,155,3,50.0,50,1,0,0.8428905407587688,
24,169,3,50.0,50,1,0,0.8428905407587688,
25,155,3,50.0,50,1,0,0.8428905407587688,
26,164,3,50.0,50,1,0,0.8428905407587688,
27,153,3,50.0,50,1,0,0.8428905407587688,
28,163,3,50.0,50,1,0,0.8428905407587688,
29,151,3,50.0,50,1,0,0.8428905407587688,
30,152,3,50.0,50,1,0,0.8428905407587688,
31,151,3,50.0,50,1,0,0.8428905407587688,
32,156,3,50.0,50,1,0,0.8428905407587688,
33,162,3,50.0,50,1,0,0.8428905407587688,
34,164,3,50.0,50,1,0,0.8428905407587688,
35,166,3,50.0,50,1,0,0.8428905407587688,
36,161,3,50.0,50,1,0,0.8428905407587688,
37,162,3,50.0,50,1,0,0.8428905407587688,
38,161,3,50.0,50,1,0,0.8428905407587688,
39,154,3,50.0,50,1,0,0.8428905407587688,
40,160,3,50.0,50,1,0,0.8428905407587688,
41,162,3,50.0,50,1,0,0.8428905407587688,
42,150,3,50.0,50,1,0,0.8428905407587688,
43,163,3,50.0,50,1,0,0.8428905407587688,
44,166,3,50.0,50,1,0,0.8428905407587688,
45,150,3,50.0,50,1,0,0.8428905407587688,
46,169,3,50.0,50,1,0,0.8428905407587688,
47,153,3,50.0,50,1,0,0.8428905407587688,
48,168,3,50.0,50,1,0,0.8428905407587688,
49,166,3,50.0,50,1,0,0.8428905407587688,
50,160,3,50.0,50,1,0,0.8428905407587688,
51,165,3,50.0,50,1,0,0.8428905407587688,
52,154,3,50.0,50,1,0,0.8428905407587688,
53,162,3,50.0,50,1,0,0.8428905407587688,
54,169,3,50.0,50,1,0,0.8428905407587688,
55,161,3,50.0,50,1,0,0.8428905407587688,
56,161,3,50.0,50,1,0,0.8428905407587688,
57,158,3,50.0,50,1,0,0.8428905407587688,
58,156,3,50.0,50,1,0,0.8428905407587688,
59,170,3,50.0,50,1,0,0.8428905407587688,
60,156,3,50.0,50,1,0,0.8428905407587688,
61,161,3,50.0,50,1,0,0.8428905407587688,
62,151,3,50.0,50,1,0,0.8428905407587688,
63,158,3,50.0,50,1,0,0.8428905407587688,
64,164,3,50.0,50,1,0,0.8428905407587688,
65,158,3,50.0,50,1,0,0.8428905407587688,
66,165,3,50.0,50,1,0,0.8428905407587688,
67,153,3,50.0,50,1,0,0.8428905407587688,
68,160,3,50.0,50,1,0,0.8428905407587688,
69,161,3,50.0,50,1,0,0.8428905407587688,
70,167,3,50.0,50,1,0,0.8428905407587688,
71,152,3,50.0,50,1,0,0.8428905407587688,
72,164,3,50.0,50,1,0,0.8428905407587688,
73,156,3,50.0,50,1,0,0.8428905407587688,
74,161,3,50.0,50,1,0,0.8428905407587688,
75,169,3,50.0,50,1,0,0.8428905407587688,
76,153,3,50.0,50,1,0,0.8428905407587688,
77,160,3,50.0,50,1,0,0.8428905407587688,
78,165,3,50.0,50,1,0,0.8428905407587688,
79,165,3,50.0,50,1,0,0.8428905407587688,
80,153,3,50.0,50,1,0,0.8428905407587688,
81,161,3,50.0,50,1,0,0.8428905407587688,
82,150,3,50.0,50,1,0,0.8428905407587688,
83,161,3,50.0,50,1,0,0.8428905407587688,
84,161,3,50.0,50,1,0,0.8428905407587688,
85,151,3,50.0,50,1,0,0.8428905407587688,
86,170,3,50.0,50,1,0,0.8428905407587688,
87,166,3,50.0,50,1,0,0.8428905407587688,
