Second,HeartRate,Level,LapDistance,Age,Duration(seconds),Laps,Distance(meters)
1,107,4,200.0,30,97,0,107.63420952690973
2,100,4,200.0,30,97,0,107.63420952690973
3,99,4,200.0,30,97,0,107.63420952690973
4,97,4,200.0,30,97,0,107.63420952690973
5,101,4,200.0,30,97,0,107.63420952690973
6,102,4,200.0,30,97,0,107.63420952690973
7,97,4,200.0,30,97,0,107.63420952690973
8,101,4,200.0,30,97,0,107.63420952690973
9,110,4,200.0,30,97,0,107.63420952690973
10,102,4,200.0,30,97,0,107.63420952690973
11,95,4,200.0,30,97,0,107.63420952690973
12,98,4,200.0,30,97,0,107.63420952690973
13,94,4,200.0,30,97,0,107.63420952690973
14,110,4,200.0,30,97,0,107.63420952690973
15,94,4,200.0,30,97,0,107.63420952690973
16,106,4,200.0,30,97,0,107.63420952690973
17,102,4,200.0,30,97,0,107.63420952690973
18,91,4,200.0,30,97,0,107.63420952690973
19,92,4,200.0,30,97,0,107.63420952690973
20,92,4,200.0,30,97,0,107.63420952690973
21,93,4,200.0,30,97,0,107.63420952690973
22,92,4,200.0,30,97,0,107.63420952690973
23,92,4,200.0,30,97,0,107.63420952690973
24,94,4,200.0,30,97,0,107.63420952690973
25,95,4,200.0,30,97,0,107.63420952690973
26,106,4,200.0,30,97,0,107.63420952690973
27,95,4,200.0,30,97,0,107.63420952690973
28,96,4,200.0,30,97,0,107.63420952690973
29,99,4,200.0,30,97,0,107.63420952690973
30,91,4,200.0,30,97,0,107.63420952690973
31,95,4,200.0,30,97,0,107.63420952690973
32,93,4,200.0,30,97,0,107.63420952690973
33,92,4,200.0,30,97,0,107.63420952690973
34,95,4,200.0,30,97,0,107.63420952690973
35,94,4,200.0,30,97,0,107.63420952690973
36,91,4,200.0,30,97,0,107.63420952690973
37,106,4,200.0,30,97,0,107.63420952690973
38,91,4,200.0,30,97,0,107.63420952690973
39,100,4,200.0,30,97,0,107.63420952690973
40,101,4,200.0,30,97,0,107.63420952690973
41,98,4,200.0,30,97,0,107.63420952690973
42,106,4,200.0,30,97,0,107.63420952690973
43,102,4,200.0,30,97,0,107.63420952690973
44,102,4,200.0,30,97,0,107.63420952690973
45,92,4,200.0,30,97,0,107.63420952690973
46,94,4,200.0,30,97,0,107.63420952690973
47,105,4,200.0,30,97,0,107.63420952690973
48,90,4,200.0,30,97,0,107.63420952690973
49,105,4,200.0,30,97,0,107.63420952690973
50,98,4,200.0,30,97,0,107.63420952690973
51,101,4,200.0,30,97,0,107.63420952690973
52,97,4,200.0,30,97,0,107.63420952690973
53,95,4,200.0,30,97,0,107.63420952690973
54,104,4,200.0,30,97,0,107.63420952690973
55,91,4,200.0,30,97,0,107.63420952690973
56,104,4,200.0,30,97,0,107.63420952690973
57,93,4,200.0,30,97,0,107.63420952690973
58,91,4,200.0,30,97,0,107.63420952690973
59,90,4,200.0,30,97,0,107.63420952690973
60,105,4,200.0,30,97,0,107.63420952690973
61,93,4,200.0,30,97,0,107.63420952690973
62,96,4,200.0,30,97,0,107.63420952690973
63,91,4,200.0,30,97,0,107.63420952690973
64,101,4,200.0,30,97,0,107.63420952690973
65,101,4,200.0,30,97,0,107.63420952690973
66,91,4,200.0,30,97,0,107.63420952690973
67,110,4,200.0,30,97,0,107.63420952690973
68,91,4,200.0,30,97,0,107.63420952690973
69,96,4,200.0,30,97,0,107.63420952690973
70,105,4,200.0,30,97,0,107.63420952690973
71,94,4,200.0,30,97,0,107.63420952690973
72,93,4,200.0,30,97,0,107.63420952690973
73,108,4,200.0,30,97,0,107.63420952690973
74,91,4,200.0,30,97,0,107.63420952690973
75,105,4,200.0,30,97,0,107.63420952690973
76,97,4,200.0,30,97,0,107.63420952690973
77,94,4,200.0,30,97,0,107.63420952690973
78,102,4,200.0,30,97,0,107.63420952690973
79,110,4,200.0,30,97,0,107.63420952690973
80,97,4,200.0,30,97,0,107.63420952690973
81,95,4,200.0,30,97,0,107.63420952690973
82,104,4,200.0,30,97,0,107.63420952690973
83,91,4,200.0,30,97,0,107.63420952690973
84,97,4,200.0,30,97,0,107.63420952690973
85,93,4,200.0,30,97,0,107.63420952690973
86,104,4,200.0,30,97,0,107.63420952690973
87,91,4,200.0,30,97,0,107.63420952690973
88,94,4,200.0,30,97,0,107.63420952690973
89,90,4,200.0,30,97,0,107.63420952690973
90,91,4,200.0,30,97,0,107.63420952690973
91,97,4,200.0,30,97,0,107.63420952690973
92,104,4,200.0,30,97,0,107.63420952690973
93,109,4,200.0,30,97,0,107.63420952690973
94,98,4,200.0,30,97,0,107.63420952690973
95,95,4,200.0,30,97,0,107.63420952690973
96,163,4,200.0,30,97,0,107.63420952690973
97,160,4,200.0,30,97,0,107.63420952690973
98,136,4,200.0,30,97,0,107.63420952690973
99,130,4,200.0,30,97,0,107.63420952690973
100,145,4,200.0,30,97,0,107.63420952690973
101,137,4,200.0,30,97,0,107.63420952690973
102,133,4,200.0,30,97,0,107.63420952690973
103,149,4,200.0,30,97,0,107.63420952690973
104,147,4,200.0,30,97,0,107.63420952690973
105,135,4,200.0,30,97,0,107.63420952690973
