Second,HeartRate,Level,LapDistance,Age,Duration(seconds),Laps,Distance(meters),Feedback
1,163,3,50.0,50,61,1,49.70236539840699,舒适
2,155,3,50.0,50,61,1,49.70236539840699,舒适
3,160,3,50.0,50,61,1,49.70236539840699,舒适
4,159,3,50.0,50,61,1,49.70236539840699,舒适
5,166,3,50.0,50,61,1,49.70236539840699,舒适
6,166,3,50.0,50,61,1,49.70236539840699,舒适
7,166,3,50.0,50,61,1,49.70236539840699,舒适
8,158,3,50.0,50,61,1,49.70236539840699,舒适
9,158,3,50.0,50,61,1,49.70236539840699,舒适
10,159,3,50.0,50,61,1,49.70236539840699,舒适
11,167,3,50.0,50,61,1,49.70236539840699,舒适
12,152,3,50.0,50,61,1,49.70236539840699,舒适
13,170,3,50.0,50,61,1,49.70236539840699,舒适
14,164,3,50.0,50,61,1,49.70236539840699,舒适
15,167,3,50.0,50,61,1,49.70236539840699,舒适
16,161,3,50.0,50,61,1,49.70236539840699,舒适
17,156,3,50.0,50,61,1,49.70236539840699,舒适
18,151,3,50.0,50,61,1,49.70236539840699,舒适
19,165,3,50.0,50,61,1,49.70236539840699,舒适
20,161,3,50.0,50,61,1,49.70236539840699,舒适
21,152,3,50.0,50,61,1,49.70236539840699,舒适
22,150,3,50.0,50,61,1,49.70236539840699,舒适
23,167,3,50.0,50,61,1,49.70236539840699,舒适
24,151,3,50.0,50,61,1,49.70236539840699,舒适
25,163,3,50.0,50,61,1,49.70236539840699,舒适
26,151,3,50.0,50,61,1,49.70236539840699,舒适
27,169,3,50.0,50,61,1,49.70236539840699,舒适
28,159,3,50.0,50,61,1,49.70236539840699,舒适
29,154,3,50.0,50,61,1,49.70236539840699,舒适
30,150,3,50.0,50,61,1,49.70236539840699,舒适
31,166,3,50.0,50,61,1,49.70236539840699,舒适
32,150,3,50.0,50,61,1,49.70236539840699,舒适
33,150,3,50.0,50,61,1,49.70236539840699,舒适
34,156,3,50.0,50,61,1,49.70236539840699,舒适
35,160,3,50.0,50,61,1,49.70236539840699,舒适
36,158,3,50.0,50,61,1,49.70236539840699,舒适
37,169,3,50.0,50,61,1,49.70236539840699,舒适
38,156,3,50.0,50,61,1,49.70236539840699,舒适
39,161,3,50.0,50,61,1,49.70236539840699,舒适
40,150,3,50.0,50,61,1,49.70236539840699,舒适
41,153,3,50.0,50,61,1,49.70236539840699,舒适
42,164,3,50.0,50,61,1,49.70236539840699,舒适
43,154,3,50.0,50,61,1,49.70236539840699,舒适
44,170,3,50.0,50,61,1,49.70236539840699,舒适
45,151,3,50.0,50,61,1,49.70236539840699,舒适
46,168,3,50.0,50,61,1,49.70236539840699,舒适
47,154,3,50.0,50,61,1,49.70236539840699,舒适
48,153,3,50.0,50,61,1,49.70236539840699,舒适
49,151,3,50.0,50,61,1,49.70236539840699,舒适
50,163,3,50.0,50,61,1,49.70236539840699,舒适
51,150,3,50.0,50,61,1,49.70236539840699,舒适
52,157,3,50.0,50,61,1,49.70236539840699,舒适
53,152,3,50.0,50,61,1,49.70236539840699,舒适
54,150,3,50.0,50,61,1,49.70236539840699,舒适
55,158,3,50.0,50,61,1,49.70236539840699,舒适
56,168,3,50.0,50,61,1,49.70236539840699,舒适
57,167,3,50.0,50,61,1,49.70236539840699,舒适
58,168,3,50.0,50,61,1,49.70236539840699,舒适
59,162,3,50.0,50,61,1,49.70236539840699,舒适
60,164,3,50.0,50,61,1,49.70236539840699,舒适
61,150,3,50.0,50,61,1,49.70236539840699,舒适
62,160,3,50.0,50,61,1,49.70236539840699,舒适
63,150,3,50.0,50,61,1,49.70236539840699,舒适
