Timestamp,HeartRate,Level,LapDistance,Age,Duration(seconds),Laps
8.641988039016724,134,5,200.0,50,20,0
9.645255327224731,146,5,200.0,50,20,0
10.653854846954346,138,5,200.0,50,20,0
11.660146951675415,138,5,200.0,50,20,0
12.667091846466064,140,5,200.0,50,20,0
13.673950433731079,145,5,200.0,50,20,0
14.677680253982544,132,5,200.0,50,20,0
15.682740449905396,136,5,200.0,50,20,0
16.688602209091187,137,5,200.0,50,20,0
17.694570541381836,137,5,200.0,50,20,0
18.700318098068237,150,5,200.0,50,20,0
19.57767081260681,0,5,200.0,50,20,0
20.479716539382935,0,5,200.0,50,20,0
