Second,HeartRate,Level,LapDistance,Age,Duration(seconds),Laps,Distance(meters)
1,161,4,200.0,34,11,0,12.322289678785538
2,154,4,200.0,34,11,0,12.322289678785538
3,161,4,200.0,34,11,0,12.322289678785538
4,157,4,200.0,34,11,0,12.322289678785538
5,152,4,200.0,34,11,0,12.322289678785538
6,160,4,200.0,34,11,0,12.322289678785538
7,161,4,200.0,34,11,0,12.322289678785538
8,153,4,200.0,34,11,0,12.322289678785538
9,157,4,200.0,34,11,0,12.322289678785538
10,165,4,200.0,34,11,0,12.322289678785538
11,156,4,200.0,34,11,0,12.322289678785538
12,154,4,200.0,34,11,0,12.322289678785538
13,169,4,200.0,34,11,0,12.322289678785538
14,152,4,200.0,34,11,0,12.322289678785538
15,150,4,200.0,34,11,0,12.322289678785538
16,150,4,200.0,34,11,0,12.322289678785538
