Second,HeartRate,Level,LapDistance,Age,Duration(seconds),Laps
1,146,2,10.0,40,19,1
2,146,2,10.0,40,19,1
3,0,2,10.0,40,19,1
4,95,2,10.0,40,19,1
5,93,2,10.0,40,19,1
6,186,2,10.0,40,19,1
7,181,2,10.0,40,19,1
8,194,2,10.0,40,19,1
9,193,2,10.0,40,19,1
10,173,2,10.0,40,19,1
11,171,2,10.0,40,19,1
12,177,2,10.0,40,19,1
13,186,2,10.0,40,19,1
14,193,2,10.0,40,19,1
15,176,2,10.0,40,19,1
16,193,2,10.0,40,19,1
17,174,2,10.0,40,19,1
18,175,2,10.0,40,19,1
19,195,2,10.0,40,19,1
20,192,2,10.0,40,19,1
21,190,2,10.0,40,19,1
22,193,2,10.0,40,19,1
23,185,2,10.0,40,19,1
24,194,2,10.0,40,19,1
25,186,2,10.0,40,19,1
