Second,HeartRate,Level,LapDistance,Age,Duration(seconds),Laps,Distance(meters),Feedback
1,157,3,50.0,50,64,1,53.08402895927431,
2,152,3,50.0,50,64,1,53.08402895927431,
3,158,3,50.0,50,64,1,53.08402895927431,
4,153,3,50.0,50,64,1,53.08402895927431,
5,162,3,50.0,50,64,1,53.08402895927431,
6,154,3,50.0,50,64,1,53.08402895927431,
7,151,3,50.0,50,64,1,53.08402895927431,
8,157,3,50.0,50,64,1,53.08402895927431,
9,166,3,50.0,50,64,1,53.08402895927431,
10,160,3,50.0,50,64,1,53.08402895927431,
11,151,3,50.0,50,64,1,53.08402895927431,
12,150,3,50.0,50,64,1,53.08402895927431,
13,151,3,50.0,50,64,1,53.08402895927431,
14,159,3,50.0,50,64,1,53.08402895927431,
15,169,3,50.0,50,64,1,53.08402895927431,
16,167,3,50.0,50,64,1,53.08402895927431,
17,162,3,50.0,50,64,1,53.08402895927431,
18,155,3,50.0,50,64,1,53.08402895927431,
19,157,3,50.0,50,64,1,53.08402895927431,
20,160,3,50.0,50,64,1,53.08402895927431,
21,161,3,50.0,50,64,1,53.08402895927431,
22,161,3,50.0,50,64,1,53.08402895927431,
23,155,3,50.0,50,64,1,53.08402895927431,
24,169,3,50.0,50,64,1,53.08402895927431,
25,155,3,50.0,50,64,1,53.08402895927431,
26,164,3,50.0,50,64,1,53.08402895927431,
27,153,3,50.0,50,64,1,53.08402895927431,
28,163,3,50.0,50,64,1,53.08402895927431,
29,151,3,50.0,50,64,1,53.08402895927431,
30,152,3,50.0,50,64,1,53.08402895927431,
31,151,3,50.0,50,64,1,53.08402895927431,
32,156,3,50.0,50,64,1,53.08402895927431,
33,162,3,50.0,50,64,1,53.08402895927431,
34,164,3,50.0,50,64,1,53.08402895927431,
35,166,3,50.0,50,64,1,53.08402895927431,
36,161,3,50.0,50,64,1,53.08402895927431,
37,162,3,50.0,50,64,1,53.08402895927431,
38,161,3,50.0,50,64,1,53.08402895927431,
39,154,3,50.0,50,64,1,53.08402895927431,
40,160,3,50.0,50,64,1,53.08402895927431,
41,162,3,50.0,50,64,1,53.08402895927431,
42,150,3,50.0,50,64,1,53.08402895927431,
43,163,3,50.0,50,64,1,53.08402895927431,
44,166,3,50.0,50,64,1,53.08402895927431,
45,150,3,50.0,50,64,1,53.08402895927431,
46,169,3,50.0,50,64,1,53.08402895927431,
47,153,3,50.0,50,64,1,53.08402895927431,
48,168,3,50.0,50,64,1,53.08402895927431,
49,166,3,50.0,50,64,1,53.08402895927431,
50,160,3,50.0,50,64,1,53.08402895927431,
51,165,3,50.0,50,64,1,53.08402895927431,
52,154,3,50.0,50,64,1,53.08402895927431,
53,162,3,50.0,50,64,1,53.08402895927431,
54,169,3,50.0,50,64,1,53.08402895927431,
55,161,3,50.0,50,64,1,53.08402895927431,
56,161,3,50.0,50,64,1,53.08402895927431,
57,158,3,50.0,50,64,1,53.08402895927431,
58,156,3,50.0,50,64,1,53.08402895927431,
59,170,3,50.0,50,64,1,53.08402895927431,
60,156,3,50.0,50,64,1,53.08402895927431,
61,161,3,50.0,50,64,1,53.08402895927431,
62,151,3,50.0,50,64,1,53.08402895927431,
