Timestamp,HeartRate,Level,LapDistance,Age,Duration(seconds),Laps
1742058323.232607,0,4,200.0,34,15,0
1742058329.4809651,107,4,200.0,34,15,0
1742058330.490585,95,4,200.0,34,15,0
1742058331.4958375,109,4,200.0,34,15,0
1742058332.4994576,102,4,200.0,34,15,0
1742058333.5060225,95,4,200.0,34,15,0
1742058334.5118241,103,4,200.0,34,15,0
1742058335.519834,104,4,200.0,34,15,0
1742058336.2181349,0,4,200.0,34,15,0
1742058341.774274,0,4,200.0,34,15,0
1742058379.1040235,81,4,200.0,34,15,0
1742058380.1134522,88,4,200.0,34,15,0
1742058381.116384,79,4,200.0,34,15,0
1742058382.1239064,74,4,200.0,34,15,0
1742058383.129636,76,4,200.0,34,15,0
1742058384.1345444,81,4,200.0,34,15,0
1742058385.1391287,76,4,200.0,34,15,0
1742058386.1441128,89,4,200.0,34,15,0
1742058387.14905,81,4,200.0,34,15,0
1742058388.1559703,75,4,200.0,34,15,0
1742058389.164736,88,4,200.0,34,15,0
1742058390.1711178,74,4,200.0,34,15,0
1742058390.8296123,0,4,200.0,34,15,0
