Timestamp,HeartRate,Level,LapDistance,Age,Duration(seconds),Laps
1742059203.8863952,0,5,200.0,30,32,0
1742059210.3103802,105,5,200.0,30,32,0
1742059211.319524,102,5,200.0,30,32,0
1742059212.324863,104,5,200.0,30,32,0
1742059213.331442,110,5,200.0,30,32,0
1742059214.3363872,101,5,200.0,30,32,0
1742059215.3438532,107,5,200.0,30,32,0
1742059216.3485043,95,5,200.0,30,32,0
1742059217.3534634,107,5,200.0,30,32,0
1742059218.3600583,99,5,200.0,30,32,0
1742059219.3660843,106,5,200.0,30,32,0
1742059220.375588,97,5,200.0,30,32,0
1742059221.380106,106,5,200.0,30,32,0
1742059222.3860428,107,5,200.0,30,32,0
1742059223.391638,104,5,200.0,30,32,0
1742059224.3991904,95,5,200.0,30,32,0
1742059225.406495,91,5,200.0,30,32,0
1742059226.416428,92,5,200.0,30,32,0
1742059227.4227173,103,5,200.0,30,32,0
1742059228.4323938,106,5,200.0,30,32,0
1742059229.4417386,104,5,200.0,30,32,0
1742059230.447248,97,5,200.0,30,32,0
1742059231.4534414,90,5,200.0,30,32,0
1742059232.458125,95,5,200.0,30,32,0
1742059233.4618251,105,5,200.0,30,32,0
1742059234.4675963,91,5,200.0,30,32,0
1742059235.479498,93,5,200.0,30,32,0
1742059236.4887326,108,5,200.0,30,32,0
1742059237.501454,97,5,200.0,30,32,0
1742059238.5131557,98,5,200.0,30,32,0
1742059239.520961,99,5,200.0,30,32,0
1742059240.5294902,99,5,200.0,30,32,0
1742059241.5360777,94,5,200.0,30,32,0
1742059242.5434494,108,5,200.0,30,32,0
1742059243.5551488,99,5,200.0,30,32,0
1742059244.5609426,98,5,200.0,30,32,0
1742059245.5655982,108,5,200.0,30,32,0
